Provinsi,Tahun,PDB_Harga_Berlaku,PDB_Harga_Konstan,Pendapatan_HB,Pendapatan_HK,Laju_HK,Laju_Pendapatan_HK
ACEH,2019,164162.98,132069.62,30879.06,24842.30,4.14,3.45
SUMATERA UTARA,2019,799608.95,539513.85,54620.40,36853.59,5.22,3.61
SUMATERA BARAT,2019,245949.74,172205.57,44885.51,31427.29,5.01,3.14
RIAU,2019,760247.51,495607.05,111227.01,72509.14,2.81,2.51
JAMBI,2019,216927.71,149111.09,60828.86,41812.35,4.35,4.46
SUMATERA SELATAN,2019,453402.71,315464.75,53359.10,37125.75,5.69,4.11
BENGKULU,2019,72098.24,46345.45,36565.29,23504.53,4.94,4.49
LAMPUNG,2019,356676.83,244378.31,42172.32,28894.50,5.26,4.18
KEP. BANGKA BELITUNG,2019,75794.96,53941.90,52232.80,37173.14,3.32,3.95
KEP. RIAU,2019,267631.48,181877.67,119394.66,81138.52,4.83,-0.08
DKI JAKARTA,2019,2815636.16,1836240.55,268052.25,174812.51,5.82,5.46
JAWA BARAT,2019,2123153.71,1490959.69,43309.19,30413.37,5.02,4.30
JAWA TENGAH,2019,1360960.13,991516.54,39388.15,28695.92,5.36,5.17
DI YOGYAKARTA,2019,141047.69,104485.46,36459.73,27008.68,6.59,4.78
JAWA TIMUR,2019,2345548.55,1649895.64,59015.17,41512.20,5.53,4.88
BANTEN,2019,661321.34,456620.03,52013.99,35913.90,5.26,5.06
BALI,2019,251934.10,162693.36,57755.96,37297.50,5.60,3.90
NUSA TENGGARA BARAT,2019,132500.10,93872.44,25716.11,18219.11,3.90,1.10
NUSA TENGGARA TIMUR,2019,106731.76,69389.02,19630.02,12761.98,5.25,3.98
KALIMANTAN BARAT,2019,212150.33,137243.09,42045.41,27199.78,5.09,4.17
KALIMANTAN TENGAH,2019,150046.10,100349.29,56625.38,37870.47,6.12,6.53
KALIMANTAN SELATAN,2019,180557.64,133283.85,42823.56,31611.46,4.09,3.26
KALIMANTAN TIMUR,2019,652480.26,486523.18,180259.10,134410.55,4.70,5.54
KALIMANTAN UTARA,2019,96509.93,61417.79,138751.01,88299.52,6.89,10.09
SULAWESI UTARA,2019,130126.51,89009.26,52173.02,35687.44,5.65,5.24
SULAWESI TENGAH,2019,185740.09,127935.06,61056.03,42054.50,8.83,7.70
SULAWESI SELATAN,2019,504320.73,330506.38,57182.14,37474.29,6.91,6.33
SULAWESI TENGGARA,2019,129225.15,94053.52,48514.15,35309.90,6.50,6.10
GORONTALO,2019,41145.45,28429.97,34976.65,24167.56,6.40,7.23
SULAWESI BARAT,2019,46365.79,32843.81,34111.83,24163.56,5.56,5.27
MALUKU,2019,46152.82,31049.45,26097.04,17556.86,5.41,5.72
MALUKU UTARA,2019,39695.49,26597.55,32124.96,21524.99,6.25,5.99
PAPUA BARAT,2019,84356.97,62074.52,87542.37,64418.52,2.66,-0.13
PAPUA,2019,189510.70,134565.89,56618.95,40203.42,-15.74,-16.36
INDONESIA,2019,15832657.20,10949155.40,59317.91,41021.61,5.02,4.27
ACEH,2020,166372.32,131580.97,31633.38,25018.28,-0.37,0.71
SUMATERA UTARA,2020,811188.31,533746.36,54979.04,36175.16,-1.07,-1.84
SUMATERA BARAT,2020,241993.53,169416.72,43843.67,30694.42,-1.62,-2.33
RIAU,2020,728649.99,489984.31,114331.74,76882.94,-1.13,6.03
JAMBI,2020,206242.61,148448.82,58285.73,41952.77,-0.44,0.34
SUMATERA SELATAN,2020,456647.86,315129.22,54084.41,37323.24,-0.11,0.53
BENGKULU,2020,73305.27,46338.43,36552.50,23105.92,-0.02,-1.70
LAMPUNG,2020,353530.04,240293.59,39346.53,26743.75,-1.67,-7.44
KEP. BANGKA BELITUNG,2020,75495.26,52699.21,52006.51,36302.97,-2.30,-2.34
KEP. RIAU,2020,254227.86,174959.21,123529.17,85012.58,-3.80,4.77
DKI JAKARTA,2020,2768189.73,1792403.43,262702.12,170099.68,-2.39,-2.70
JAWA BARAT,2020,2084620.25,1453380.72,43288.70,30180.54,-2.52,-0.77
JAWA TENGAH,2020,1347922.69,965225.71,36983.99,26483.64,-2.65,-7.71
DI YOGYAKARTA,2020,138306.83,101683.52,37745.22,27750.38,-2.68,2.75
JAWA TIMUR,2020,2299791.05,1611507.78,56640.41,39689.02,-2.33,-4.39
BANTEN,2020,625979.35,441138.98,52736.47,37164.35,-3.39,3.48
BALI,2020,223900.89,147521.41,51940.10,34221.73,-9.33,-8.25
NUSA TENGGARA BARAT,2020,133613.74,93288.87,25183.56,17583.11,-0.62,-3.49
NUSA TENGGARA TIMUR,2020,106480.97,68809.59,20056.71,12960.95,-0.84,1.56
KALIMANTAN BARAT,2020,214001.75,134743.38,39631.76,24953.61,-1.82,-8.26
KALIMANTAN TENGAH,2020,152187.39,98933.61,57145.08,37148.73,-1.41,-1.91
KALIMANTAN SELATAN,2020,179094.11,130857.35,44084.07,32210.58,-1.82,1.90
KALIMANTAN TIMUR,2020,607586.18,472554.82,161756.71,125807.52,-2.87,-6.40
KALIMANTAN UTARA,2020,100509.86,60746.21,143657.14,86823.59,-1.09,-1.67
SULAWESI UTARA,2020,132230.06,88126.37,50521.13,33670.44,-0.99,-5.65
SULAWESI TENGAH,2020,197440.78,134152.69,66306.27,45052.32,4.86,7.13
SULAWESI SELATAN,2020,504059.37,328154.57,55675.79,36246.26,-0.71,-3.28
SULAWESI TENGGARA,2020,130178.03,93446.82,49745.19,35709.02,-0.65,1.13
GORONTALO,2020,41729.77,28425.21,35693.17,24313.24,-0.02,0.60
SULAWESI BARAT,2020,46427.58,32054.50,32809.67,22652.43,-2.40,-6.25
MALUKU,2020,46262.45,30765.27,25093.81,16687.79,-0.92,-4.95
MALUKU UTARA,2020,42319.47,28020.67,33085.43,21906.60,5.35,1.77
PAPUA BARAT,2020,83588.64,61604.13,73932.60,54487.70,-0.76,-15.42
PAPUA,2020,199232.88,137787.29,46427.15,32108.51,2.39,-20.13
INDONESIA,2020,15438017.50,10723054.80,57269.80,39778.89,-2.07,-3.03
ACEH,2021,184976.30,135249.59,34680.46,25357.40,2.79,1.36
SUMATERA UTARA,2021,859870.95,547651.82,57569.79,36666.20,2.61,1.36
SUMATERA BARAT,2021,252749.65,174996.06,45293.75,31360.00,3.29,2.17
RIAU,2021,843211.15,506457.71,129852.59,77993.33,3.36,1.44
JAMBI,2021,233725.46,153881.69,65193.22,42922.34,3.66,2.31
SUMATERA SELATAN,2021,491566.45,326407.93,57487.44,38172.58,3.58,2.28
BENGKULU,2021,79576.33,47839.68,39143.43,23532.24,3.24,1.85
LAMPUNG,2021,371903.17,247001.67,40950.42,27197.46,2.79,1.70
KEP. BANGKA BELITUNG,2021,85942.70,55360.74,58338.82,37579.45,5.05,3.52
KEP. RIAU,2021,275636.33,180952.44,130125.23,85425.89,3.43,0.49
DKI JAKARTA,2021,2914581.08,1856301.41,274709.59,174962.98,3.56,2.86
JAWA BARAT,2021,2209822.38,1507746.39,45299.58,30907.59,3.74,2.41
JAWA TENGAH,2021,1420799.91,997317.10,38669.11,27143.42,3.32,2.49
DI YOGYAKARTA,2021,149369.17,107308.56,40229.83,28901.58,5.53,4.15
JAWA TIMUR,2021,2454498.80,1669116.89,60043.33,40830.88,3.57,2.88
BANTEN,2021,665921.92,460739.58,55210.65,38199.27,4.44,2.78
BALI,2021,219800.03,143870.40,50381.21,32977.09,-2.47,-3.64
NUSA TENGGARA BARAT,2021,140153.32,95436.85,26002.48,17706.29,2.30,0.70
NUSA TENGGARA TIMUR,2021,110885.75,70538.34,20581.13,13092.38,2.51,1.01
KALIMANTAN BARAT,2021,231321.16,141187.04,42282.90,25807.40,4.78,3.42
KALIMANTAN TENGAH,2021,170001.21,102294.47,62912.85,37856.42,3.40,1.91
KALIMANTAN SELATAN,2021,192576.58,135412.85,46712.68,32846.66,3.48,1.97
KALIMANTAN TIMUR,2021,695158.33,484297.35,182540.82,127171.08,2.48,1.08
KALIMANTAN UTARA,2021,110668.94,63162.97,155080.62,88510.41,3.98,1.94
SULAWESI UTARA,2021,142600.02,91790.93,54043.18,34787.33,4.16,3.32
SULAWESI TENGAH,2021,246987.36,149849.81,81733.04,49588.29,11.70,10.07
SULAWESI SELATAN,2021,545230.03,343402.51,59656.24,37573.32,4.65,3.66
SULAWESI TENGGARA,2021,139057.83,97276.96,52293.97,36581.89,4.10,2.44
GORONTALO,2021,43896.37,29109.96,37170.45,24649.65,2.41,1.38
SULAWESI BARAT,2021,50341.23,32874.63,35036.02,22879.78,2.56,1.00
MALUKU,2021,48564.22,31700.76,26072.98,17019.39,3.04,1.99
MALUKU UTARA,2021,52359.85,32615.10,40302.32,25104.43,16.40,14.60
PAPUA BARAT,2021,85072.86,61288.61,73539.00,52979.33,-0.51,-2.77
PAPUA,2021,235343.25,158611.04,54034.26,36416.72,15.11,13.42
INDONESIA,2021,16970789.20,11118868.50,62236.44,40775.88,3.69,2.51
